lat,lon,label
38.1,-100.5,low
38.2,-100.3,low
38.3,-100.1,low
38.4,-99.9,low
38.5,-99.7,medium
38.6,-99.5,medium
38.7,-99.3,medium
38.8,-99.1,medium
38.9,-98.9,medium
39.0,-98.7,high
39.1,-98.5,high
39.2,-98.3,high
39.3,-98.1,high
39.4,-97.9,high
39.5,-97.7,high
38.15,-100.4,low
38.25,-100.2,low
38.35,-100.0,medium
38.45,-99.8,medium
38.55,-99.6,medium
38.65,-99.4,medium
38.75,-99.2,high
38.85,-99.0,high
38.95,-98.8,high
39.05,-98.6,high
39.15,-98.4,high
39.25,-98.2,low
39.35,-98.0,medium
39.45,-97.8,high
39.55,-97.6,high
